x,y,z
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
560.000039 ,-559.999961 ,-5
559.991953 ,-559.995078 ,-5
559.913008 ,-559.935078 ,-5
559.759492 ,-559.818359 ,-5
559.500547 ,-559.639805 ,-5
559.184648 ,-559.448594 ,-5
558.792109 ,-559.230195 ,-5
558.327578 ,-558.979805 ,-5
557.793242 ,-558.698633 ,-5
557.189961 ,-558.389727 ,-5
556.519180 ,-558.053203 ,-5
555.781172 ,-557.688516 ,-5
554.897305 ,-557.256524 ,-5
554.078907 ,-556.860938 ,-5
553.182461 ,-556.431094 ,-5
552.204570 ,-555.963789 ,-5
551.150273 ,-555.460274 ,-5
550.022656 ,-554.921289 ,-5
548.825625 ,-554.347891 ,-5
547.561993 ,-553.740977 ,-5
546.234531 ,-553.101172 ,-5
544.845430 ,-552.429102 ,-5
543.396524 ,-551.725469 ,-5
541.889570 ,-550.990821 ,-5
540.325821 ,-550.225703 ,-5
538.706562 ,-549.430781 ,-5
537.035976 ,-548.607969 ,-5
535.349766 ,-547.774883 ,-5
533.744961 ,-546.979531 ,-5
532.266954 ,-546.244375 ,-5
530.927656 ,-545.575508 ,-5
529.734140 ,-544.976602 ,-5
528.583712 ,-544.396094 ,-5
527.707851 ,-543.951563 ,-5
526.974846 ,-543.577305 ,-5
526.387539 ,-543.275625 ,-5
525.943478 ,-543.045704 ,-5
525.485783 ,-542.807032 ,-5
525.055626 ,-542.581837 ,-5
524.585392 ,-542.336836 ,-5
524.066055 ,-542.068281 ,-5
523.493671 ,-541.773516 ,-5
522.865860 ,-541.451250 ,-5
522.180626 ,-541.100977 ,-5
521.440197 ,-540.724064 ,-5
520.654728 ,-540.325626 ,-5
519.841370 ,-539.914415 ,-5
519.032658 ,-539.506680 ,-5
518.256329 ,-539.116251 ,-5
517.527306 ,-538.750586 ,-5
516.843987 ,-538.408867 ,-5
516.203163 ,-538.089064 ,-5
515.595940 ,-537.786367 ,-5
515.005547 ,-537.492422 ,-5
514.412891 ,-537.197462 ,-5
513.803284 ,-536.894064 ,-5
513.168674 ,-536.578243 ,-5
512.506680 ,-536.248632 ,-5
511.818985 ,-535.906055 ,-5
511.113750 ,-535.554531 ,-5
510.397892 ,-535.197618 ,-5
509.687580 ,-534.843243 ,-5
508.915276 ,-534.457773 ,-5
508.238087 ,-534.119610 ,-5
507.574417 ,-533.787930 ,-5
506.920547 ,-533.461094 ,-5
506.271252 ,-533.136484 ,-5
505.621330 ,-532.811523 ,-5
504.966640 ,-532.484140 ,-5
504.304806 ,-532.153164 ,-5
503.635391 ,-531.818321 ,-5
502.959064 ,-531.480156 ,-5
502.280354 ,-531.140625 ,-5
501.604179 ,-530.802540 ,-5
500.928986 ,-530.464727 ,-5
500.179493 ,-530.089687 ,-5
499.506016 ,-529.752773 ,-5
498.833984 ,-529.416641 ,-5
498.163242 ,-529.081251 ,-5
497.492737 ,-528.745899 ,-5
496.822578 ,-528.410860 ,-5
496.152580 ,-528.075821 ,-5
495.482773 ,-527.740784 ,-5
494.812698 ,-527.405743 ,-5
494.067970 ,-527.033478 ,-5
493.397385 ,-526.698242 ,-5
492.726601 ,-526.362854 ,-5
492.055550 ,-526.027500 ,-5
491.384453 ,-525.692070 ,-5
490.713364 ,-525.356682 ,-5
490.042343 ,-525.021290 ,-5
489.371529 ,-524.685898 ,-5
488.700745 ,-524.350510 ,-5
488.030159 ,-524.015118 ,-5
487.359726 ,-523.679726 ,-5
486.689262 ,-523.344337 ,-5
485.943947 ,-522.971680 ,-5
485.273125 ,-522.636292 ,-5
484.602348 ,-522.300900 ,-5
483.931488 ,-521.965508 ,-5
483.260429 ,-521.630077 ,-5
482.589493 ,-521.294689 ,-5
481.918671 ,-520.959297 ,-5
481.173363 ,-520.586643 ,-5
480.502579 ,-520.251251 ,-5
479.831802 ,-519.915859 ,-5
479.161018 ,-519.580471 ,-5
478.490234 ,-519.245079 ,-5
477.819458 ,-518.909687 ,-5
477.148674 ,-518.574299 ,-5
476.403206 ,-518.201603 ,-5
475.732422 ,-517.866211 ,-5
475.061646 ,-517.530823 ,-5
474.390862 ,-517.195431 ,-5
473.720078 ,-516.860039 ,-5
473.049217 ,-516.524609 ,-5
472.378441 ,-516.189220 ,-5
471.633125 ,-515.816563 ,-5
470.962349 ,-515.481174 ,-5
470.291565 ,-515.145782 ,-5
469.620781 ,-514.810390 ,-5
468.950005 ,-514.475002 ,-5
468.279221 ,-514.139610 ,-5
467.608437 ,-513.804218 ,-5
466.937660 ,-513.468830 ,-5
466.266876 ,-513.133438 ,-5
465.596092 ,-512.798046 ,-5
464.925278 ,-512.462620 ,-5
464.254257 ,-512.127110 ,-5
463.583481 ,-511.791721 ,-5
462.912697 ,-511.456329 ,-5
462.241913 ,-511.120937 ,-5
461.571136 ,-510.785549 ,-5
460.825821 ,-510.412891 ,-5
460.155045 ,-510.077499 ,-5
459.484261 ,-509.742111 ,-5
458.813477 ,-509.406719 ,-5
458.142700 ,-509.071331 ,-5
457.471916 ,-508.735939 ,-5
456.801094 ,-508.400547 ,-5
456.130318 ,-508.065159 ,-5
455.459534 ,-507.729767 ,-5
454.788750 ,-507.394375 ,-5
454.117973 ,-507.058987 ,-5
453.447189 ,-506.723595 ,-5
452.776405 ,-506.388203 ,-5
452.105553 ,-506.052776 ,-5
451.359810 ,-505.679924 ,-5
450.763557 ,-505.381798 ,-5
450.092773 ,-505.046406 ,-5
449.347466 ,-504.673752 ,-5
448.676682 ,-504.338360 ,-5
448.005898 ,-504.002972 ,-5
447.335045 ,-503.667542 ,-5
446.664261 ,-503.332150 ,-5
445.993477 ,-502.996758 ,-5
445.322701 ,-502.661369 ,-5
444.651917 ,-502.325977 ,-5
443.981133 ,-501.990585 ,-5
443.310356 ,-501.655197 ,-5
442.639572 ,-501.319805 ,-5
441.968788 ,-500.984417 ,-5
441.298012 ,-500.649025 ,-5
440.627190 ,-500.313633 ,-5
439.956406 ,-499.978245 ,-5
439.285629 ,-499.642853 ,-5
438.614845 ,-499.307461 ,-5
437.944069 ,-498.972073 ,-5
437.273247 ,-498.636681 ,-5
436.602463 ,-498.301289 ,-5
435.931679 ,-497.965900 ,-5
435.186371 ,-497.593243 ,-5
434.515587 ,-497.257854 ,-5
433.844810 ,-496.922462 ,-5
433.174026 ,-496.587070 ,-5
432.503242 ,-496.251682 ,-5
431.832306 ,-495.916214 ,-5
431.161530 ,-495.580818 ,-5
430.490738 ,-495.245430 ,-5
429.819962 ,-494.910042 ,-5
429.149185 ,-494.574654 ,-5
428.403870 ,-494.201996 ,-5
427.733093 ,-493.866600 ,-5
427.062302 ,-493.531212 ,-5
426.391525 ,-493.195824 ,-5
425.720749 ,-492.860428 ,-5
425.049957 ,-492.525040 ,-5
424.379181 ,-492.189651 ,-5
423.708405 ,-491.854256 ,-5
423.037613 ,-491.518867 ,-5
422.366837 ,-491.183479 ,-5
421.696060 ,-490.848091 ,-5
421.025284 ,-490.512695 ,-5
420.354492 ,-490.177307 ,-5
419.683716 ,-489.841919 ,-5
418.938370 ,-489.469261 ,-5
418.267578 ,-489.133865 ,-5
417.596802 ,-488.798477 ,-5
416.926025 ,-488.463089 ,-5
416.255234 ,-488.127693 ,-5
415.584457 ,-487.792305 ,-5
414.913681 ,-487.456917 ,-5
414.242889 ,-487.121529 ,-5
413.572113 ,-486.786133 ,-5
412.826797 ,-486.413475 ,-5
412.156021 ,-486.078087 ,-5
411.485245 ,-485.742699 ,-5
410.814453 ,-485.407303 ,-5
410.143677 ,-485.071915 ,-5
409.472900 ,-484.736526 ,-5
408.802109 ,-484.401138 ,-5
408.131332 ,-484.065742 ,-5
407.460556 ,-483.730354 ,-5
406.715240 ,-483.357697 ,-5
406.044464 ,-483.022308 ,-5
405.373672 ,-482.686913 ,-5
404.702896 ,-482.351524 ,-5
404.032120 ,-482.016136 ,-5
403.361328 ,-481.680740 ,-5
402.685791 ,-481.356018 ,-5
401.998642 ,-481.058632 ,-5
401.300232 ,-480.790039 ,-5
400.512314 ,-480.525002 ,-5
399.790512 ,-480.329689 ,-5
399.057266 ,-480.188438 ,-5
398.316559 ,-480.080826 ,-5
397.569656 ,-479.988052 ,-5
396.821182 ,-479.916489 ,-5
396.070038 ,-479.864960 ,-5
395.316025 ,-479.831055 ,-5
394.561493 ,-479.812500 ,-5
393.722656 ,-479.805786 ,-5
392.968597 ,-479.808243 ,-5
392.215622 ,-479.818085 ,-5
391.464493 ,-479.833168 ,-5
390.715714 ,-479.850784 ,-5
389.968872 ,-479.869339 ,-5
389.222977 ,-479.888870 ,-5
388.477112 ,-479.908638 ,-5
387.730316 ,-479.927109 ,-5
386.982117 ,-479.943672 ,-5
386.149033 ,-479.959885 ,-5
385.398132 ,-479.972618 ,-5
384.646286 ,-479.983246 ,-5
