x,y,z
560.0048,-560.0032,-5
558.6208,-560.2912,-5
557.2808,-560.6092,-5
555.984,-560.9567,-5
554.7294,-561.3331,-5
553.5162,-561.7378,-5
552.3435,-562.1701,-5
551.2104,-562.6297,-5
550.116,-563.1157,-5
549.0593,-563.6278,-5
548.0395,-564.1652,-5
547.0558,-564.7275,-5
546.1072,-565.314,-5
545.1927,-565.9241,-5
544.3116,-566.5573,-5
543.4629,-567.2131,-5
542.6458,-567.8907,-5
541.8593,-568.5896,-5
541.1025,-569.3093,-5
540.3745,-570.0492,-5
539.6745,-570.8087,-5
539.0016,-571.5871,-5
538.3548,-572.384,-5
537.7333,-573.1988,-5
537.1362,-574.0308,-5
536.5626,-574.8795,-5
536.0115,-575.7443,-5
535.4821,-576.6247,-5
534.9735,-577.52,-5
534.4848,-578.4296,-5
534.0151,-579.3531,-5
533.5635,-580.2897,-5
533.1291,-581.239,-5
532.7111,-582.2003,-5
532.3085,-583.1731,-5
531.9204,-584.1568,-5
531.5459,-585.1508,-5
531.1842,-586.1545,-5
530.8343,-587.1673,-5
530.4954,-588.1887,-5
530.1665,-589.2181,-5
529.8468,-590.2549,-5
529.5353,-591.2985,-5
529.2312,-592.3484,-5
528.9336,-593.4039,-5
528.6416,-594.4645,-5
528.3543,-595.5296,-5
528.0708,-596.5986,-5
527.7901,-597.671,-5
527.5115,-598.7461,-5
527.2339,-599.8234,-5
526.9566,-600.9023,-5
526.6786,-601.9822,-5
526.3991,-603.0626,-5
526.117,-604.1428,-5
525.8316,-605.2223,-5
525.5419,-606.3005,-5
525.2471,-607.3768,-5
524.9462,-608.4506,-5
524.6384,-609.5214,-5
524.3228,-610.5886,-5
523.9984,-611.6515,-5
523.6647,-612.7099,-5
523.3216,-613.7634,-5
522.969,-614.8121,-5
522.6069,-615.8558,-5
522.2353,-616.8943,-5
521.8541,-617.9275,-5
521.4632,-618.9554,-5
521.0626,-619.9776,-5
520.6523,-620.9943,-5
520.2321,-622.0051,-5
519.8021,-623.0101,-5
519.3623,-624.009,-5
518.9124,-625.0017,-5
518.4526,-625.9881,-5
517.9827,-626.9681,-5
517.5028,-627.9416,-5
517.0127,-628.9083,-5
516.5124,-629.8683,-5
516.0018,-630.8214,-5
515.481,-631.7673,-5
514.9499,-632.7061,-5
514.4083,-633.6376,-5
513.8563,-634.5617,-5
513.2939,-635.4781,-5
512.7209,-636.3869,-5
512.1373,-637.2879,-5
511.5431,-638.1809,-5
510.9382,-639.0658,-5
510.3226,-639.9425,-5
509.6962,-640.8109,-5
509.059,-641.6709,-5
508.4113,-642.5226,-5
507.7532,-643.3663,-5
507.0851,-644.2021,-5
506.4073,-645.0303,-5
505.7198,-645.851,-5
505.0231,-646.6645,-5
504.3174,-647.4709,-5
503.6028,-648.2705,-5
502.8798,-649.0633,-5
502.1484,-649.8497,-5
501.4091,-650.6299,-5
500.662,-651.404,-5
499.9074,-652.1722,-5
499.1455,-652.9347,-5
498.3767,-653.6918,-5
497.6011,-654.4436,-5
496.819,-655.1903,-5
496.0307,-655.9322,-5
495.2365,-656.6693,-5
494.4364,-657.402,-5
493.631,-658.1304,-5
492.8203,-658.8547,-5
492.0047,-659.5752,-5
491.1843,-660.2919,-5
490.3595,-661.0052,-5
489.5306,-661.7152,-5
488.6977,-662.4221,-5
487.8611,-663.1261,-5
487.021,-663.8274,-5
486.1778,-664.5262,-5
485.3317,-665.2227,-5
484.483,-665.9171,-5
483.6318,-666.6097,-5
482.7784,-667.3005,-5
481.9232,-667.9898,-5
481.0663,-668.6778,-5
480.208,-669.3647,-5
479.3486,-670.0507,-5
478.4883,-670.736,-5
477.6274,-671.4208,-5
476.7662,-672.1053,-5
475.9048,-672.7897,-5
475.0435,-673.4741,-5
474.1827,-674.1589,-5
473.3224,-674.8441,-5
472.4631,-675.53,-5
471.605,-676.2168,-5
470.7483,-676.9046,-5
469.8932,-677.5938,-5
469.0401,-678.2844,-5
468.1891,-678.9767,-5
467.3406,-679.6709,-5
466.4947,-680.3671,-5
465.6518,-681.0656,-5
464.8121,-681.7666,-5
463.9759,-682.4702,-5
463.1432,-683.1766,-5
462.3138,-683.8854,-5
461.4874,-684.5964,-5
460.6637,-685.3091,-5
459.8424,-686.0234,-5
459.0231,-686.7387,-5
458.2055,-687.4549,-5
457.3894,-688.1715,-5
456.5743,-688.8883,-5
455.76,-689.6048,-5
454.9462,-690.3209,-5
454.1325,-691.0361,-5
453.3187,-691.7501,-5
452.5043,-692.4626,-5
451.6892,-693.1733,-5
450.8729,-693.8818,-5
450.0553,-694.5877,-5
449.2358,-695.2909,-5
448.4143,-695.9908,-5
447.5905,-696.6873,-5
446.7639,-697.3799,-5
445.9343,-698.0684,-5
445.1014,-698.7524,-5
444.2648,-699.4315,-5
443.4243,-700.1055,-5
442.5795,-700.774,-5
441.7301,-701.4367,-5
440.8757,-702.0933,-5
440.0162,-702.7433,-5
439.1514,-703.3869,-5
438.2815,-704.0242,-5
437.4067,-704.6554,-5
436.5271,-705.2809,-5
435.643,-705.9007,-5
434.7545,-706.5152,-5
433.8618,-707.1246,-5
432.9652,-707.7292,-5
432.0647,-708.3291,-5
431.1605,-708.9247,-5
430.2529,-709.516,-5
429.3421,-710.1035,-5
428.4281,-710.6873,-5
427.5113,-711.2677,-5
426.5917,-711.8448,-5
425.6696,-712.419,-5
424.7451,-712.9904,-5
423.8185,-713.5594,-5
422.8899,-714.1261,-5
421.9595,-714.6907,-5
421.0274,-715.2536,-5
420.094,-715.815,-5
419.1592,-716.375,-5
418.2234,-716.9339,-5
417.2867,-717.4921,-5
416.3494,-718.0496,-5
415.4114,-718.6067,-5
414.4732,-719.1638,-5
413.5348,-719.7209,-5
412.5964,-720.2784,-5
411.6583,-720.8364,-5
410.7205,-721.3953,-5
409.7833,-721.9553,-5
408.8469,-722.5165,-5
407.9114,-723.0793,-5
406.9771,-723.6438,-5
406.044,-724.2103,-5
405.1125,-724.7791,-5
404.1827,-725.3504,-5
403.2547,-725.9243,-5
402.3287,-726.5013,-5
401.405,-727.0814,-5
400.4837,-727.6649,-5
399.565,-728.2521,-5
398.6491,-728.8432,-5
397.7361,-729.4384,-5
396.8263,-730.038,-5
395.9198,-730.6422,-5
395.0168,-731.2513,-5
394.1175,-731.8654,-5
393.2221,-732.4848,-5
392.3308,-733.1099,-5
391.4437,-733.7407,-5
390.561,-734.3775,-5
389.683,-735.0206,-5
388.8097,-735.6702,-5
387.9415,-736.3265,-5
387.0783,-736.9898,-5
386.2202,-737.6598,-5
385.3663,-738.3355,-5
384.5161,-739.0158,-5
383.6689,-739.6999,-5
382.8239,-740.3867,-5
381.9805,-741.0751,-5
381.1381,-741.7642,-5
380.2958,-742.453,-5
379.4531,-743.1404,-5
378.6092,-743.8254,-5
377.7635,-744.5071,-5
376.9153,-745.1844,-5
376.064,-745.8563,-5
375.2087,-746.5219,-5
374.3489,-747.18,-5
373.4838,-747.8298,-5
372.6129,-748.4701,-5
371.7353,-749.1,-5
370.8504,-749.7185,-5
369.9576,-750.3245,-5
369.0561,-750.9171,-5
368.1453,-751.4952,-5
367.2245,-752.0579,-5
366.293,-752.6041,-5
365.3501,-753.1328,-5
364.3951,-753.643,-5
363.4274,-754.1337,-5
362.4462,-754.604,-5
361.4511,-755.0528,-5
