x,y,z
560.000039,-559.999961,-5
560.000039,-559.999961,-5
560.000039,-559.999961,-5
560.000039,-559.999961,-5
560.000039,-559.999961,-5
560.000039,-560,-5
559.97125,-559.942852,-5
559.897188,-559.793789,-5
559.780859,-559.559219,-5
559.64375,-559.283008,-5
559.453086,-558.899766,-5
559.225117,-558.442852,-5
558.960938,-557.914805,-5
558.696875,-557.387266,-5
558.367852,-556.729492,-5
558.00457,-556.003281,-5
557.963125,-555.920469,-5
557.963125,-555.920469,-5
557.920898,-555.836055,-5
557.920898,-555.836055,-5
557.879531,-555.753438,-5
557.236836,-554.469375,-5
556.747891,-553.49293,-5
556.266172,-552.530625,-5
555.806094,-551.611563,-5
555.254453,-550.509376,-5
554.668282,-549.338086,-5
554.049141,-548.10086,-5
553.48168,-546.96668,-5
552.849414,-545.702657,-5
552.313828,-544.631719,-5
551.758008,-543.519884,-5
551.310312,-542.62422,-5
550.857148,-541.717266,-5
550.495352,-540.993008,-5
550.125859,-540.253437,-5
549.825195,-539.65168,-5
549.510977,-539.022814,-5
549.214648,-538.429766,-5
548.956992,-537.914297,-5
548.663242,-537.326485,-5
548.392617,-536.785156,-5
548.074219,-536.14797,-5
547.777813,-535.555273,-5
547.430781,-534.86129,-5
547.073946,-534.147579,-5
546.751759,-533.503361,-5
546.39043,-532.780783,-5
546.075899,-532.151798,-5
545.731524,-531.462931,-5
545.433047,-530.865744,-5
545.104219,-530.208008,-5
544.780625,-529.560665,-5
544.494571,-528.988438,-5
544.171524,-528.342306,-5
543.844961,-527.68922,-5
543.550821,-527.100979,-5
543.215469,-526.430431,-5
542.914103,-525.827736,-5
542.573671,-525.146877,-5
542.272148,-524.544182,-5
541.934258,-523.868359,-5
541.634415,-523.26836,-5
541.297695,-522.594532,-5
540.961641,-521.922306,-5
540.66297,-521.325119,-5
540.327461,-520.654182,-5
540.02965,-520.058594,-5
539.694921,-519.389141,-5
539.397423,-518.794453,-5
539.062735,-518.125431,-5
538.765196,-517.530392,-5
538.430157,-516.860432,-5
538.094845,-516.189846,-5
537.79664,-515.593361,-5
537.460978,-514.921917,-5
537.125235,-514.250507,-5
536.826954,-513.653946,-5
536.491486,-512.983047,-5
536.193359,-512.386799,-5
535.857969,-511.716251,-5
535.559961,-511.120312,-5
535.224922,-510.449883,-5
534.889532,-509.779415,-5
534.591406,-509.183243,-5
534.256016,-508.512463,-5
533.957891,-507.916172,-5
533.622501,-507.245197,-5
533.287071,-506.574219,-5
532.988945,-505.977776,-5
532.653517,-505.306759,-5
532.318125,-504.635941,-5
532.02,-504.039688,-5
531.68461,-503.368908,-5
531.34922,-502.698128,-5
531.051094,-502.101875,-5
530.715704,-501.431095,-5
530.41754,-500.834805,-5
530.08215,-500.164024,-5
529.746719,-499.493244,-5
529.448633,-498.896992,-5
529.113243,-498.226212,-5
528.815079,-497.629963,-5
528.479689,-496.959183,-5
528.144297,-496.288399,-5
527.846172,-495.692146,-5
527.51078,-495.02137,-5
527.175392,-494.350586,-5
526.877266,-493.754341,-5
526.541874,-493.083557,-5
526.206486,-492.412773,-5
525.90836,-491.816528,-5
525.572971,-491.145744,-5
525.237579,-490.47496,-5
524.939453,-489.878716,-5
524.604065,-489.207932,-5
524.268673,-488.537148,-5
523.970547,-487.940903,-5
523.635159,-487.270119,-5
523.337032,-486.673866,-5
523.00164,-486.003052,-5
522.666252,-485.332268,-5
522.368126,-484.736015,-5
522.032734,-484.065239,-5
521.697346,-483.394455,-5
521.39922,-482.798203,-5
521.063828,-482.127426,-5
520.728439,-481.456642,-5
520.430313,-480.86039,-5
520.094921,-480.189613,-5
519.759533,-479.518829,-5
519.424141,-478.848045,-5
519.126015,-478.251801,-5
518.790627,-477.581017,-5
518.4925,-476.984764,-5
518.157112,-476.313988,-5
517.82172,-475.643204,-5
517.523594,-475.046951,-5
517.188206,-474.376175,-5
516.852814,-473.705391,-5
516.517422,-473.034615,-5
516.219299,-472.438362,-5
515.883907,-471.767578,-5
515.585781,-471.171333,-5
515.250393,-470.500549,-5
514.915001,-469.829765,-5
514.616875,-469.233521,-5
514.281487,-468.562737,-5
513.98336,-467.966484,-5
513.647968,-467.295708,-5
513.312542,-466.624886,-5
513.014416,-466.028633,-5
512.679024,-465.357857,-5
512.343636,-464.687073,-5
512.045509,-464.09082,-5
511.710117,-463.420044,-5
511.411995,-462.823792,-5
511.076603,-462.153008,-5
510.778477,-461.556763,-5
510.443089,-460.885979,-5
510.107697,-460.215195,-5
509.80957,-459.61895,-5
509.474182,-458.948166,-5
509.176056,-458.351914,-5
508.840664,-457.681137,-5
508.505276,-457.010353,-5
508.20715,-456.414101,-5
507.871758,-455.743324,-5
507.573635,-455.147072,-5
507.238205,-454.476212,-5
506.902813,-453.805435,-5
506.604691,-453.209183,-5
506.269299,-452.538399,-5
505.971172,-451.942154,-5
505.635784,-451.27137,-5
505.337658,-450.675118,-5
505.002266,-450.004341,-5
504.666878,-449.333557,-5
504.368752,-448.737305,-5
504.03336,-448.066528,-5
503.735237,-447.470276,-5
503.399845,-446.799492,-5
503.064453,-446.128716,-5
502.766331,-445.532463,-5
502.430939,-444.861679,-5
502.095547,-444.190903,-5
501.797424,-443.59465,-5
501.462032,-442.923866,-5
501.163906,-442.327622,-5
500.828518,-441.656838,-5
500.530392,-441.060585,-5
500.195,-440.389809,-5
499.859612,-439.719025,-5
499.561485,-439.12278,-5
499.226093,-438.451996,-5
498.927971,-437.855743,-5
498.592579,-437.184967,-5
498.257191,-436.514183,-5
497.959064,-435.917931,-5
497.623672,-435.247154,-5
497.288284,-434.57637,-5
496.990158,-433.980118,-5
496.654766,-433.309341,-5
496.356644,-432.713089,-5
496.021252,-432.042305,-5
495.68586,-431.371521,-5
495.387733,-430.775284,-5
495.052345,-430.104492,-5
494.716957,-429.433716,-5
494.418831,-428.837463,-5
494.083443,-428.166687,-5
493.748047,-427.495895,-5
493.412659,-426.825119,-5
493.077271,-426.154343,-5
492.779144,-425.55809,-5
492.443748,-424.887314,-5
492.108284,-424.21637,-5
491.810158,-423.620117,-5
491.47477,-422.949341,-5
491.176643,-422.353088,-5
490.841255,-421.682312,-5
490.505859,-421.01152,-5
490.207733,-420.415283,-5
489.872345,-419.744492,-5
489.574219,-419.148239,-5
489.238831,-418.477463,-5
488.903442,-417.806686,-5
488.605316,-417.210434,-5
488.26992,-416.539658,-5
487.934532,-415.868866,-5
487.636406,-415.272614,-5
487.301018,-414.601837,-5
486.96563,-413.931061,-5
486.630234,-413.260269,-5
486.294846,-412.589493,-5
485.959457,-411.918716,-5
485.661331,-411.322464,-5
485.325935,-410.651688,-5
484.990547,-409.980896,-5
484.655159,-409.31012,-5
484.319771,-408.639343,-5
484.021645,-408.043091,-5
483.686249,-407.372315,-5
483.350861,-406.701523,-5
483.015472,-406.030747,-5
482.680077,-405.35997,-5
482.381958,-404.763718,-5
482.046524,-404.092896,-5
481.711136,-403.422119,-5
481.41301,-402.825867,-5
481.077621,-402.155075,-5
480.759377,-401.476959,-5
480.540588,-400.853638,-5
480.39492,-400.134964,-5
480.3368,-399.405243,-5
480.35231,-398.749573,-5
480.462776,-398.014572,-5
480.655746,-397.284607,-5
480.88578,-396.642075,-5
481.227539,-395.953873,-5
481.626877,-395.301956,-5
482.061562,-394.678436,-5
482.493752,-394.164734,-5
483.01297,-393.608643,-5
483.526443,-393.049851,-5
483.97934,-392.551834,-5
484.478012,-391.978516,-5
484.96563,-391.402542,-5
485.442543,-390.816177,-5
485.855469,-390.284027,-5
486.303436,-389.675674,-5
486.739769,-389.060242,-5
487.118439,-388.506455,-5
487.53035,-387.873871,-5
487.93438,-387.2379,-5
488.288246,-386.671173,-5
488.676407,-386.030045,-5
489.06086,-385.389023,-5
489.444572,-384.748917,-5
489.785393,-384.180206,-5
490.169769,-383.540436,-5
490.511795,-382.970856,-5
490.897697,-382.329269,-5
491.285355,-381.687149,-5
491.674454,-381.044891,-5
492.021294,-380.473801,-5
492.411797,-379.832428,-5
492.759727,-379.263016,-5
493.151443,-378.622849,-5
493.543755,-377.983124,-5
493.893013,-377.415207,-5
494.286133,-376.776444,-5
494.635551,-376.208954,-5
495.028984,-375.570831,-5
495.378716,-375.003677,-5
495.77211,-374.365585,-5
496.165508,-373.727387,-5
496.515198,-373.159882,-5
496.908596,-372.521454,-5
497.258282,-371.95372,-5
497.651642,-371.315002,-5
498.001289,-370.747238,-5
498.39465,-370.108444,-5
498.78801,-369.469696,-5
499.137344,-368.901886,-5
499.530392,-368.263092,-5
499.879768,-367.695282,-5
500.272816,-367.056488,-5
500.622189,-366.488678,-5
501.015236,-365.849884,-5
501.408283,-365.211105,-5
501.757656,-364.64328,-5
502.150703,-364.004501,-5
502.50008,-363.436691,-5
502.893127,-362.797897,-5
503.286175,-362.159103,-5
503.635548,-361.591293,-5
504.028595,-360.952499,-5
504.377972,-360.384689,-5
504.771015,-359.745895,-5
505.164063,-359.107117,-5
505.513439,-358.539307,-5
505.906487,-357.900513,-5
506.299534,-357.261719,-5
506.648907,-356.693909,-5
507.042034,-356.055115,-5
507.39172,-355.487305,-5
507.785,-354.848602,-5
508.178284,-354.209808,-5
508.527737,-353.641998,-5
508.920784,-353.003204,-5
509.313828,-352.364426,-5
