x,y,z
559.9762,-560.0099,-5
558.8407,-559.5712,-5
557.7857,-559.098,-5
556.8081,-558.5918,-5
555.9048,-558.0538,-5
555.0726,-557.4854,-5
554.3083,-556.888,-5
553.6089,-556.2627,-5
552.9711,-555.6111,-5
552.3919,-554.9344,-5
551.8681,-554.234,-5
551.3965,-553.5111,-5
550.9741,-552.7672,-5
550.5976,-552.0036,-5
550.2639,-551.2216,-5
549.97,-550.4225,-5
549.7126,-549.6077,-5
549.4886,-548.7785,-5
549.2949,-547.9363,-5
549.1283,-547.0824,-5
548.9857,-546.2181,-5
548.8639,-545.3448,-5
548.7599,-544.4638,-5
548.6704,-543.5764,-5
548.5923,-542.684,-5
548.5225,-541.7879,-5
548.4578,-540.8894,-5
548.3952,-539.99,-5
548.3314,-539.0908,-5
548.2633,-538.1933,-5
548.1877,-537.2988,-5
548.1017,-536.4087,-5
548.0019,-535.5242,-5
547.8852,-534.6467,-5
547.7486,-533.7775,-5
547.5888,-532.9181,-5
547.4027,-532.0696,-5
547.1873,-531.2335,-5
546.9392,-530.4111,-5
546.6558,-529.6035,-5
546.337,-528.8109,-5
545.9847,-528.0322,-5
545.6008,-527.2668,-5
545.1869,-526.5137,-5
544.745,-525.7723,-5
544.2768,-525.0417,-5
543.7843,-524.321,-5
543.2692,-523.6095,-5
542.7333,-522.9063,-5
542.1785,-522.2106,-5
541.6066,-521.5217,-5
541.0194,-520.8387,-5
540.4188,-520.1607,-5
539.8065,-519.487,-5
539.1845,-518.8168,-5
538.5545,-518.1493,-5
537.9183,-517.4835,-5
537.2778,-516.8188,-5
536.6348,-516.1543,-5
535.9911,-515.4892,-5
535.3486,-514.8227,-5
534.709,-514.1539,-5
534.0743,-513.4821,-5
533.4462,-512.8064,-5
532.8265,-512.1261,-5
532.2171,-511.4402,-5
531.6198,-510.7481,-5
531.0364,-510.0489,-5
530.4688,-509.3417,-5
529.9188,-508.6258,-5
529.3881,-507.9003,-5
528.8787,-507.1645,-5
528.3923,-506.4175,-5
527.9309,-505.6585,-5
527.4961,-504.8867,-5
527.0898,-504.1012,-5
526.7137,-503.3015,-5
526.3664,-502.4879,-5
526.0441,-501.6623,-5
525.7432,-500.8263,-5
525.46,-499.9814,-5
525.1906,-499.1295,-5
524.9314,-498.2721,-5
524.6786,-497.4108,-5
524.4284,-496.5474,-5
524.1773,-495.6836,-5
523.9213,-494.8209,-5
523.6569,-493.961,-5
523.3801,-493.1056,-5
523.0874,-492.2564,-5
522.775,-491.415,-5
522.4391,-490.583,-5
522.076,-489.7622,-5
521.6819,-488.9541,-5
521.2533,-488.1605,-5
520.7894,-487.3817,-5
520.2954,-486.6161,-5
519.7767,-485.8617,-5
519.239,-485.1166,-5
518.6879,-484.3788,-5
518.1289,-483.6465,-5
517.5678,-482.9176,-5
517.0099,-482.1902,-5
516.461,-481.4625,-5
515.9266,-480.7324,-5
515.4123,-479.998,-5
514.9238,-479.2575,-5
514.4665,-478.5087,-5
514.0461,-477.7499,-5
513.6682,-476.9791,-5
513.3384,-476.1943,-5
513.0622,-475.3936,-5
512.8452,-474.5751,-5
512.6915,-473.7374,-5
512.5968,-472.8818,-5
512.5549,-472.0104,-5
512.5593,-471.1255,-5
512.6037,-470.229,-5
512.6818,-469.3232,-5
512.787,-468.4101,-5
512.9131,-467.4919,-5
513.0537,-466.5706,-5
513.2024,-465.6485,-5
513.3528,-464.7276,-5
513.4985,-463.8101,-5
513.6332,-462.898,-5
513.7504,-461.9936,-5
513.8439,-461.0988,-5
513.9072,-460.216,-5
513.9339,-459.3471,-5
513.9178,-458.4943,-5
513.8523,-457.6597,-5
513.7311,-456.8454,-5
513.5478,-456.0536,-5
513.2973,-455.286,-5
512.9816,-454.5416,-5
512.6056,-453.8184,-5
512.1742,-453.1144,-5
511.6923,-452.4276,-5
511.1649,-451.7561,-5
510.5967,-451.0978,-5
509.9928,-450.4508,-5
509.358,-449.813,-5
508.6972,-449.1825,-5
508.0153,-448.5573,-5
507.3172,-447.9355,-5
506.6078,-447.3149,-5
505.892,-446.6936,-5
505.1748,-446.0697,-5
504.461,-445.4411,-5
503.7554,-444.8059,-5
503.0631,-444.1621,-5
